sender_name,receiver_name,sender_account,receiver_account,amount,timestamp,frequency
Arjun Reddy,Lakshmi Nair,ACC934832,ACC686523,25000,2024-07-20T14:00:00,2
Arjun Reddy,Kiran Desai,ACC934832,ACC775192,10000,2024-08-11T21:58:00,3
Arjun Reddy,Kiran Desai,ACC934832,ACC775192,10000,2024-06-24T19:40:00,3
Arjun Reddy,Kiran Desai,ACC934832,ACC775192,50000,2024-07-27T07:31:00,3
Arjun Reddy,Kiran Desai,ACC934832,ACC775192,10000,2024-08-11T15:57:00,2
Arjun Reddy,Kiran Desai,ACC934832,ACC775192,10000,2024-07-21T20:25:00,1
Arjun Reddy,Kiran Desai,ACC934832,ACC775192,25000,2024-10-24T16:31:00,2
Arjun Reddy,Kiran Desai,ACC934832,ACC775192,50000,2024-07-20T21:47:00,2
Arjun Reddy,Kiran Desai,ACC934832,ACC775192,10000,2024-10-29T04:47:00,1
Deepak Yadav,Imran Ali,ACC909076,ACC776498,50000,2024-08-10T06:54:00,1
Deepak Yadav,Imran Ali,ACC909076,ACC776498,50000,2024-11-21T17:39:00,3
Deepak Yadav,Imran Ali,ACC909076,ACC776498,50000,2024-10-22T14:00:00,4
Deepak Yadav,Imran Ali,ACC909076,ACC776498,50000,2024-11-20T20:03:00,3
Deepak Yadav,Neha Gupta,ACC909076,ACC301774,25000,2024-08-10T03:43:00,4
Deepak Yadav,Neha Gupta,ACC909076,ACC301774,25000,2024-09-01T16:48:00,1
Deepak Yadav,Neha Gupta,ACC909076,ACC301774,50000,2024-07-28T01:17:00,4
Deepak Yadav,Neha Gupta,ACC909076,ACC301774,50000,2024-09-23T10:00:00,4
Deepak Yadav,Neha Gupta,ACC909076,ACC301774,10000,2024-08-25T02:56:00,1
Deepak Yadav,Neha Gupta,ACC909076,ACC301774,50000,2024-07-28T22:27:00,1
Deepak Yadav,Kiran Desai,ACC909076,ACC775192,10000,2024-07-13T10:19:00,1
Deepak Yadav,Kiran Desai,ACC909076,ACC775192,50000,2024-11-08T03:01:00,4
Deepak Yadav,Kiran Desai,ACC909076,ACC775192,25000,2024-06-07T18:51:00,3
Deepak Yadav,Kiran Desai,ACC909076,ACC775192,25000,2024-08-03T03:30:00,2
Farah Sheikh,Lakshmi Nair,ACC841761,ACC686523,50000,2024-07-31T02:49:00,4
Farah Sheikh,Lakshmi Nair,ACC841761,ACC686523,10000,2024-11-08T14:37:00,1
Farah Sheikh,Lakshmi Nair,ACC841761,ACC686523,10000,2024-06-16T01:24:00,3
Farah Sheikh,Lakshmi Nair,ACC841761,ACC686523,50000,2024-06-17T04:03:00,4
Farah Sheikh,Lakshmi Nair,ACC841761,ACC686523,10000,2024-08-17T19:40:00,4
Farah Sheikh,Mohammed Farooq,ACC841761,ACC189288,10000,2024-11-21T01:35:00,1
Farah Sheikh,Mohammed Farooq,ACC841761,ACC189288,25000,2024-09-06T12:06:00,4
Farah Sheikh,Mohammed Farooq,ACC841761,ACC189288,10000,2024-11-01T21:39:00,1
Farah Sheikh,Ganesh Patil,ACC841761,ACC423850,25000,2024-09-27T13:56:00,1
Farah Sheikh,Ganesh Patil,ACC841761,ACC423850,25000,2024-11-14T21:50:00,1
Farah Sheikh,Ganesh Patil,ACC841761,ACC423850,25000,2024-10-11T10:37:00,2
Farah Sheikh,Ganesh Patil,ACC841761,ACC423850,10000,2024-06-27T00:38:00,1
Farah Sheikh,Ganesh Patil,ACC841761,ACC423850,50000,2024-07-20T18:08:00,3
Farah Sheikh,Ganesh Patil,ACC841761,ACC423850,25000,2024-09-16T15:46:00,4
Imran Ali,Omkar Joshi,ACC776498,ACC748758,5000000,2024-11-16T07:00:00,1
Vikram Malhotra,Arjun Reddy,ACC760717,ACC934832,250000,2024-11-17T01:00:00,3
Arjun Reddy,Ganesh Patil,ACC934832,ACC423850,250000,2024-11-15T04:00:00,3
Ganesh Patil,Vikram Malhotra,ACC423850,ACC760717,250000,2024-11-19T18:00:00,3
